Title,Author,Category,Status,Why It Belongs
Pedagogy of the Oppressed,Paulo Freire,Social Science,Need to Source,"The banking model of education vs. problem-posing education. The argument's form (dialogic) practices what it prescribes."
The Wretched of the Earth,Frantz Fanon,Social Science,Need to Source,"Violence as structural analysis. The psychiatrist's eye applied to colonialism — clinical precision about political horror."
The Structure of Scientific Revolutions,Thomas Kuhn,Science/Philosophy,Need to Source,"The argument about paradigm shifts is itself paradigm-shifting. The form demonstrates the thesis."
Concerning the Spiritual in Art,Wassily Kandinsky,Art/Philosophy,Public Domain,"Abstract art's theoretical foundation by its practitioner. The theory of color and form is itself a formal argument."
Silence: Lectures and Writings,John Cage,Art/Philosophy,Need to Source,"Chance operations applied to prose. The form IS the argument about silence, structure, and the dissolution of the author."
Charlotte's Web,E.B. White,Children's/Fiction,Need to Source,"Every sentence is precise. The death is earned by the entire structure. Writing about mortality for children with zero condescension."
Where the Wild Things Are,Maurice Sendak,Children's/Fiction,Need to Source,"Departure, wilderness, return — the complete arc in minimum form. The pictures and words constrain each other."
The Giving Tree,Shel Silverstein,Children's/Fiction,Need to Source,"Structurally complete parable. The repetition IS the argument about love and depletion. Disturbing and perfect."
Man's Search for Meaning,Viktor Frankl,Philosophy/Memoir,Need to Source,"The concentration camp memoir + logotherapy theory. Part 1 earns Part 2. The experience constrains the philosophy."
Thinking Fast and Slow,Daniel Kahneman,Psychology/Science,Need to Source,"The two-system framework. Every experiment earns the theory. The structure mirrors the argument — System 1 examples interrupt System 2 exposition."
The Second Sex (selections),Simone de Beauvoir,Philosophy,Need to Source,"'One is not born, but rather becomes, a woman.' The existentialist analysis of gender as structurally complete argument."
Meditations on First Philosophy,René Descartes,Philosophy,Public Domain,"The method of doubt as structural principle. Each meditation constrains the next. 'I think therefore I am' is earned by everything before it."
The Social Contract,Jean-Jacques Rousseau,Philosophy,Public Domain,"'Man is born free, and everywhere he is in chains.' The opening sentence constrains the entire argument."
Two Treatises of Government,John Locke,Philosophy,Public Domain,"The natural rights argument where each step earns the next. The foundation of liberal political philosophy."
Critique of Pure Reason (selections),Immanuel Kant,Philosophy,Public Domain,"The transcendental deduction. Synthetic a priori as structural argument. Difficult but every part is necessary."
On Liberty,John Stuart Mill,Philosophy,Public Domain,"The harm principle as generative constraint. Every chapter applies one principle to a different domain."
Leviathan (selections),Thomas Hobbes,Philosophy,Public Domain,"The state of nature as structural premise. Everything follows from the initial condition."
Mūlamadhyamakakārikā (Fundamental Verses on the Middle Way),Nagarjuna,Philosophy/Indian,Public Domain,"450 verses applying the same logical move (prasanga/reductio) to 27 domains. The catuṣkoṭi (four-fold negation) is a genuine extension of logical space with no Western parallel. Every chapter is the same argument; the universality IS the argument."
Nyaya Sutras (with Vatsyayana commentary),Gautama,Philosophy/Indian,Public Domain,"Founding text of Indian logic. The five-step syllogism requires concrete examples as formal elements — validity is not purely formal. A different conception of what an argument is."
Commentaries on the Brahma Sutras (selections),Shankara,Philosophy/Indian,Need to Source,"Two levels of truth (vyavaharika/paramarthika) as structural principle. Knowledge is not a relation between knower and known — it's self-presence of consciousness. Epistemology and ontology formally unified."
Tahafut al-Tahafut (The Incoherence of the Incoherence),Ibn Rushd (Averroes),Philosophy/Islamic,Public Domain,"Point-by-point dialectic — the book structurally requires the opponent's text to function. Pure dialectic where every claim exists only in relation to its counter."
Tahafut al-Falasifa (The Incoherence of the Philosophers),Al-Ghazali,Philosophy/Islamic,Public Domain,"Immanent critique: shows philosophy fails on philosophy's own terms. Each of 20 positions demolished from within. Anticipates Kant's critique of speculative metaphysics."
Fusus al-Hikam (The Bezels of Wisdom),Ibn Arabi,Philosophy/Islamic,Public Domain,"27 chapters for 27 prophets. Hidden musical structure (Arabic alphabet correspondence). Argues through form rather than in form — you cannot summarize it as propositions without losing it."
Muqaddimah,Ibn Khaldun,Philosophy/Islamic,Public Domain,"Asabiyya (group solidarity) as structural variable for a complete social science. Anticipates Durkheim on solidarity Marx on material conditions Toynbee on civilizational cycles — as a unified theory in the 14th century."
The Invention of Africa: Gnosis Philosophy and the Order of Knowledge,V.Y. Mudimbe,Philosophy/African,Need to Source (Monoskop PDF),"The meta-level IS the argument. You cannot say 'here is African thought' without first asking whether the category has been constituted in a way that forecloses the answer. Recursion as necessity."
African Philosophy: Myth and Reality,Paulin Hountondji,Philosophy/African,Need to Source (libcom PDF),"Polemic as self-applying critique: the book's argument (philosophy must be individually authored and critical) is enacted by the book itself. Form is content."
Cultural Universals and Particulars: An African Perspective,Kwasi Wiredu,Philosophy/African,Need to Source,"Most rigorous analytic philosophy from African concepts. The Akan concept of personhood (onipa) as something one becomes through moral achievement — a different carving of the ontological landscape."
Necropolitics,Achille Mbembe,Philosophy/African,Need to Source,"Tight deductive structure arguing from the periphery toward the center of Western political theory. The center/periphery reversal is formal not just rhetorical."
Bantu Philosophy,Placide Tempels,Philosophy/African,Public Domain (cyrho.com),"Coherent alternative to Western substance metaphysics (vital force ontology). Ethically compromised — read with Hountondji as dialectical unit. The critique IS the pedagogy."
Sage Philosophy,Henry Odera Oruka,Philosophy/African,Need to Source,"Philosophy as interview. The dialogue form isn't imposed — it's the natural form of sagacious reasoning. Socratic parallels discovered independently."
Things Fall Apart,Chinua Achebe,Fiction/African,Need to Source,"Structure enacts the tragedy: the same quality that makes Okonkwo exceptional within his system makes him unable to adapt. Achebe places weight on Igbo life that European literature denied it."
An Image of Africa,Chinua Achebe,Essays/African,Public Domain (kirbyk.net),"30 pages. Demonstrates through close reading that a book can be aesthetically accomplished and morally bankrupt simultaneously. The argument is structural not polemical."
Decolonising the Mind,Ngũgĩ wa Thiong'o,Philosophy/African,Need to Source (marxistnkrumaistforum PDF),"Self-consuming artifact: the book announces it will be the author's last work in English. The book as object IS the argument's conclusion."
Death and the King's Horseman,Wole Soyinka,Drama/African,Public Domain (jpellegrino PDF),"Yoruba tragedy redefined: the whole community suffers from one man's hesitation. Tragic form structurally different from Aristotelian — cosmic not psychological."
A Question of Power,Bessie Head,Fiction/African,Need to Source,"Madness as epistemic form — the novel thinks through the hallucinations not despite them. Radically different from Western literary treatments of madness."
The Famished Road,Ben Okri,Fiction/African,Need to Source,"Abiku (spirit child) as structural principle. Spiraling rather than linear — events recur and intensify. The road is famished as structural property not theme."
Nervous Conditions,Tsitsi Dangarembga,Fiction/African,Need to Source,"The body as argument. In a tradition where women cannot argue directly the body becomes the form through which the argument is made. Plot content IS the argument."
Our Sister Killjoy,Ama Ata Aidoo,Fiction/African,Need to Source,"Prose/poetry/polemic hybrid where the mixture is not genre experimentation but an argument about what a single voice can contain. Form as political argument."
Hōjōki (An Account of My Hut),Kamo no Chōmei,Philosophy/Japanese,Public Domain (Columbia),"Three movements: catastrophes / meditation on impermanence / the hut. Each requires the previous. The hut is not a symbol — it is the conclusion of the argument."
Tsurezuregusa (Essays in Idleness),Yoshida Kenkō,Philosophy/Japanese,Public Domain,"243 fragments. A complete internally coherent argument for the superiority of incompleteness would be self-refuting. The fragmentary form IS the argument. Edge case for the criterion."
Oku no Hosomichi (The Narrow Road to the Deep North),Matsuo Bashō,Poetry/Japanese,Public Domain,"Haibun form: prose sets scene haiku compresses instant of perception. The alternation enacts the Buddhist distinction between conceptual experience and direct perception."
The Tale of Genji,Murasaki Shikibu,Fiction/Japanese,Public Domain (Waley trans.),"The world's first novel. Knowledge of persons IS aesthetic knowledge — epistemic and aesthetic capacity are formally unified. Musical unity (themes and variations) rather than logical."
The Design of Experiments,R.A. Fisher,Science/Methods,Need to Source,"Founded experimental design. Randomization as structural principle — not a technique but a logical requirement for valid inference. Every chapter earns the next."
How to Solve It,George Pólya,Science/Methods,Need to Source,"Problem-solving methodology that is itself a structural proof. The heuristic method is demonstrated in the act of teaching it. Form enacting content."
Exploratory Data Analysis,John Tukey,Science/Methods,Need to Source,"Every technique earns the next. The argument: look at the data before testing hypotheses. The book's structure (pictures first theory second) IS the methodological claim."
A Treatise on Electricity and Magnetism,James Clerk Maxwell,Science/Engineering,Public Domain,"The mathematical unification of electricity and magnetism. Every equation earns the next. Maxwell's equations as structural proof — four equations that contain all of electromagnetism."
The Art of Electronics,Paul Horowitz & Winfield Hill,Science/Engineering,Need to Source,"Practical electronics from first principles. Every circuit earns the next. The pedagogy IS the engineering — you learn by building in the order the book prescribes."
The C Programming Language,Brian Kernighan & Dennis Ritchie,Science/Engineering,Need to Source,"Every example earns the next. The language is taught through programs that demonstrate it. The book's compression mirrors the language's compression. 'Hello World' is load-bearing."
The Art of Computer Programming (selections),Donald Knuth,Science/Engineering,Need to Source,"Structure IS the argument about algorithms. Each algorithm is a proof. The mathematical rigor is not decoration — it's the content."
Le Guide Culinaire,Auguste Escoffier,Craft/Instructional,Public Domain,"Foundational culinary manual. The mother sauces as structural principle — five bases from which all sauces derive. The taxonomy IS the technique."
The Physiology of Taste,Jean Anthelme Brillat-Savarin,Craft/Instructional,Public Domain,"Gastronomy as philosophy. The meditations are structured arguments about taste sensation pleasure and civilization. 'Tell me what you eat and I will tell you what you are.'"
On Cooking: A Textbook of Culinary Fundamentals,Sarah Labensky,Craft/Instructional,Need to Source,"If included: the structure (techniques before recipes) IS the pedagogical argument. Each technique constrains what you can cook."
The Fundamental Principles of the Metaphysic of Morals,Immanuel Kant,Philosophy,Public Domain,"The categorical imperative derived from pure reason. Every step earns the next. The form (deduction from principle) IS the moral philosophy."
The Beautyful Ones Are Not Yet Born,Ayi Kwei Armah,Fiction/African,Need to Source,"The deliberate misspelling is structural. The prose is viscerally physical — decay and corruption rendered in hallucinatory bodily detail. The moral argument lives in the sensory texture not above it."
Who Fears Death,Nnedi Okofor,Fiction/African,Need to Source,"Africanfuturist novel grounded in actual Sudanese genocide. Magic realism where the magic is structurally necessary — it's not decoration on a realist story but the form through which the story can be told at all."
